scenario;deployment;kernel;load;odv_oh1;camio;diskio;pi_calc;odv_oh2;sleep;total;max_odv_oh1;max_camio;max_diskio;max_pi_calc;max_odv_oh2;max_sleep;max_total
1;native;generic;noload;0.000317;0.057960;0.038536;0.732212;0.000482;0.170464;0.999972;329028;457570512;382820050;96777125;953696;147476962;459531837
2;native;rt;noload;0.000341;0.059657;0.051150;0.725730;0.001409;0.161684;0.999972;11197527;466127280;366022888;104807426;31175328;83022136;468614288
3;native;generic;cpuload;0.000650;0.054951;0.018343;0.727724;0.000672;0.197632;0.999972;136000;465391184;320232736;73213636;224363;20499926;468741385
4;native;rt;cpuload;0.000769;0.065500;0.035633;0.700894;0.001155;0.196021;0.999972;556170;485520067;369758786;73669222;526974;19947637;490009805
5;docker;generic;noload;0.000305;0.055769;0.039113;0.733059;0.000457;0.171268;0.999972;396912;458571556;329363391;97180413;871675;22968160;462029619
6;docker;rt;noload;0.000350;0.060629;0.049886;0.700400;0.000701;0.188006;0.999972;312373;465545184;352917288;108342366;326476;191356663;467952406
7;docker;generic;cpuload;0.000636;0.056665;0.016362;0.727719;0.000611;0.197979;0.999972;115877;464728727;443680450;73575587;203678;20408486;468571524
8;docker;rt;cpuload;0.000794;0.064469;0.034860;0.702950;0.001214;0.195685;0.999972;242364;484543325;322690644;73676731;458863;19939936;488705308
1;native;generic;noload;0.000333;0.055752;0.038829;0.715758;0.000495;0.188805;0.999972;580026;457840957;355981894;114870473;8060479;37999303;460144864
2;native;rt;noload;0.000314;0.061091;0.051341;0.725513;0.003647;0.158066;0.999972;156034;466910825;422400001;110187139;36609264;64684373;469303847
3;native;generic;cpuload;0.000643;0.055627;0.018651;0.727210;0.000657;0.197184;0.999972;663734;465228215;389125026;73491331;1104088;20666411;468640062
4;native;rt;cpuload;0.000777;0.063006;0.035928;0.703314;0.001270;0.195678;0.999972;875474;486549489;343771142;73646153;503963;19930902;490819219
5;docker;generic;noload;0.000362;0.055229;0.039457;0.731074;0.000546;0.173303;0.999972;685817;457498177;360186880;92912715;188995;154200371;462361036
6;docker;rt;noload;0.000346;0.063010;0.051518;0.697397;0.001559;0.186142;0.999972;173303;467525377;414427302;108650874;52736489;57479243;469966613
7;docker;generic;cpuload;0.000660;0.056668;0.018000;0.726047;0.000624;0.197974;0.999972;833955;464230973;390117345;73544964;800058;20782439;467890801